,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expressed,fdr_hypothesis,fdr,corrected
6174,ABCB7,22,NORMAL,0.9499685188719619,631.0,False,False,0.9562791307915123,False
6175,RMND1,55005,NORMAL,0.032867780427719866,398.0,True,True,0.04357566438134004,False
6176,UXT,8409,NOT,0.8774653933470543,597.0,False,False,0.8928150942437485,False
6177,PPARD,5467,NORMAL,0.28611306681020277,527.0,False,False,0.32529967284100647,False
6178,WDR5B,54554,NOT,0.01009337817459949,371.0,True,True,0.01438464409463352,False
6179,CAB39L,81617,NOT,1.2658797980080207e-08,48.0,True,True,5.6302969903678055e-08,False
6180,ZKSCAN3,80317,NOT,0.019236284445921053,395.0,True,True,0.0263714636777467,False
6181,OAZ2,4947,NORMAL,3.836307642831257e-05,211.0,True,True,7.647382244393027e-05,False
6182,ARL13A,392509,NOT,0.002387083759420995,262.5,True,True,0.0036930746860108984,False
6183,HDAC7,51564,NORMAL,2.6253872967106627e-09,14.0,True,True,1.704380516748467e-08,False
6184,TSR1,55720,NOT,1.2658797980080207e-08,48.0,True,True,5.6302969903678055e-08,False
6185,SLC6A2,6530,NOT,8.431972811350585e-08,82.5,True,True,2.806055294087485e-07,False
6186,SPRYD3,84926,NORMAL,5.339357587716575e-08,74.0,True,True,1.873601509807106e-07,False
6187,PEBP4,157310,NORMAL,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
6188,GIT1,28964,NORMAL,3.3821098842104396e-05,208.0,True,True,6.795295213972475e-05,False
6189,DNAH5,1767,NOT,0.015599803007704178,387.0,True,True,0.021685571494173148,False
6190,MVP,9961,NOT,1.1548334686261787e-09,7.0,True,True,1.093136886055739e-08,False
6191,TTC27,55622,NOT,1.6509514861305172e-08,45.0,True,True,6.954446945355934e-08,False
6192,DGAT1,8694,NORMAL,0.03839354765507195,423.0,True,False,0.05041031661787398,True
6193,RBM23,55147,NOT,1.9407486073729077e-05,195.0,True,True,4.045629027980413e-05,False
