,Hugo_Symbol,Entrez_Gene_Id,Normality_NormalSample,Normality_CancerSample,p,stat,expressed,fdr_hypothesis,fdr,corrected
3795,NSMAF,8439,NOT,NOT,0.7276754157937728,1199.0,False,False,0.7592673382313521,False
3796,FAM212A,389119,NOT,NOT,0.48407556933917817,1352.0,False,False,0.5285039967619328,False
3797,ACSL6,23305,NOT,NOT,5.039291056769475e-05,1838.5,True,True,9.356953232613966e-05,False
3798,MFSD9,84804,NOT,NORMAL,3.3069111718786095e-11,287.5,True,True,1.305160852049417e-10,False
3799,PTPN20A,26095,NOT,NOT,0.04447197163574686,1542.0,True,False,0.057633406602215075,True
3800,SESTD1,91404,NOT,NOT,1.6147677152111486e-05,1876.0,True,True,3.1717120015375155e-05,False
3801,GPR27,2850,NORMAL,NOT,0.13465149566365348,1032.5,False,False,0.16232411637052432,False
3802,GLRB,2743,NORMAL,NOT,0.002558497407253997,1688.0,True,True,0.0039066079416611495,False
3803,NIPAL2,79815,NORMAL,NOT,0.7148031232744885,1303.5,False,False,0.7474387761523127,False
3804,MYNN,55892,NOT,NOT,5.0340302074124796e-08,459.0,True,True,1.307712358391738e-07,False
3805,TMSB4Y,9087,NORMAL,NOT,0.30662848319423064,1398.0,False,False,0.3487396831378191,False
3806,PDP1,54704,NOT,NOT,1.1245796240421633e-05,612.5,True,True,2.254248434129539e-05,False
3807,PSMC6,5706,NOT,NOT,6.660469941701048e-07,528.5,True,True,1.5219526222603916e-06,False
3808,LRRC31,79782,NOT,NOT,2.936699214298571e-15,2394.5,True,True,2.8797704077580246e-14,False
3809,FASTKD1,79675,NORMAL,NOT,2.7404184176701667e-09,387.0,True,True,8.283591979921632e-09,False
3810,CDC37,11140,NOT,NOT,1.516257050113941e-05,1878.0,True,True,2.99010736766191e-05,False
