,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
13633,C10orf32,119032.0,NOT,1.0,2491.0,not
13634,MANSC4,100287284.0,NOT,0.9090817640425317,1442.5,not
13635,CAMKMT,79823.0,NOT,0.004763571034643544,873.5,expressed
13636,KLRG1,10219.0,ND,0.9999999999805075,2208.0,not
13637,PRDM8,56978.0,ND,0.9885526079084377,1579.5,not
13638,PATZ1,23598.0,NOT,0.0043087310801530046,868.5,expressed
13639,WFIKKN2,124857.0,NOT,0.9999999999998004,2301.5,not
13640,ZCCHC2,54877.0,ND,0.9999999975414002,2098.0,not
13641,LY6G5B,58496.0,NOT,0.9994711141599336,1724.5,not
13642,C19orf26,255057.0,ND,5.6360676876360755e-08,480.0,expressed
13643,SKIV2L2,23517.0,ND,0.9864375116147945,1570.0,not
13644,REL,5966.0,NOT,0.922222070512389,1455.5,not
13645,IFI27L1,122509.0,ND,0.9990294138510195,1699.0,not
13646,SRI,6717.0,NOT,0.9810206910816794,1550.5,not
13647,BRAP,8315.0,ND,2.7120897332864404e-09,403.5,expressed
13648,PTX4,390667.0,ND,0.9994883148527179,1720.0,not
13649,AUNIP,79000.0,ND,6.338322777233709e-17,49.0,expressed
13650,MYH15,22989.0,NOT,0.9999999981209002,2104.5,not
13651,TGFB3,7043.0,ND,0.2847610395947156,1167.0,not
13652,COLGALT1,79709.0,ND,1.713678264169467e-06,576.0,expressed
13653,LURAP1,541468.0,NOT,0.7820264618361477,1362.5,not
13654,GSDMC,56169.0,NOT,5.153329204504451e-10,364.0,expressed
13655,SPTLC2,9517.0,NOT,0.7313987039677567,1339.0,not
13656,CLN5,1203.0,NOT,0.9999999999999878,2355.5,not
13657,DDX56,54606.0,NOT,5.683153791795911e-12,265.0,expressed
13658,FGG,2266.0,ND,0.9999999999730145,2201.0,not
13659,CCDC7,79741.0,NOT,0.9902849109237406,1588.5,not
13660,XRCC1,7515.0,NOT,0.04934293862953448,1010.0,expressed
13661,WNT5B,81029.0,NOT,1.4714341900653974e-05,643.5,expressed
13662,LCP1,3936.0,NOT,0.999999999999989,2357.5,not
13663,PPTC7,160760.0,NOT,0.14494274875102325,1096.0,not
13664,BCL11A,53335.0,ND,5.941334858842738e-14,173.5,expressed
13665,UGDH,7358.0,NOT,7.861528104193419e-07,553.0,expressed
13666,NAIF1,203245.0,NOT,0.9122532403405621,1446.0,not
13667,SGK1,6446.0,NOT,0.777947078159674,1360.5,not
13668,RHOG,391.0,ND,0.9999999999991459,2273.0,not
13669,SERHL2,253190.0,ND,0.7696585551622497,1356.5,not
13670,ENDOD1,23052.0,NOT,0.15872716202195342,1104.5,not
13671,ALKBH3,221120.0,ND,0.39665596947676685,1211.5,not
13672,RAVER1,125950.0,NOT,4.42329579837025e-06,605.0,expressed
13673,MBTPS1,8720.0,NOT,0.9999165813157601,1795.5,not
