,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression,fdr,fdr_hypothesis
656,MT-ND1,4535.0,ND,4.2958778089915806e-08,70.0,expressed,1.5499433824212521e-07,True
657,MAP3K7,6885.0,NOT,4.1121386614942094e-08,61.0,expressed,1.4923510247101342e-07,True
658,VWA3A,146177.0,NOT,1.1962409574708818e-08,47.0,expressed,5.3773256675278386e-08,True
659,STEAP1,26872.0,ND,6.023629494981426e-09,35.0,expressed,3.1380639181484964e-08,True
660,PIK3C2A,5286.0,NOT,9.137549357034251e-08,84.0,expressed,3.006116266287692e-07,True
661,LCN2,3934.0,ND,0.34168156769403624,539.0,not,0.38276046183220774,False
662,PNOC,5368.0,ND,0.5146616284591244,570.0,not,0.555464510184535,False
663,DNM2,1785.0,NOT,2.478593406448764e-08,60.0,expressed,9.656675935138113e-08,True
664,CYTH1,9267.0,NOT,7.1594666223879605e-09,38.0,expressed,3.584921330485565e-08,True
665,FAM195B,348262.0,NOT,5.976585237652229e-05,209.0,expressed,0.0001159801280391398,True
666,RNF8,9025.0,NOT,0.0038562301160110506,322.0,expressed,0.005791217530565148,True
667,ALMS1,7840.0,NOT,8.348988640746282e-05,217.0,expressed,0.00015920622622321055,True
668,CYP7B1,9420.0,NOT,0.050607988130155566,435.0,not,0.06530611749820255,False
669,TRIQK,286144.0,NOT,1.1913151364582724e-07,89.0,expressed,3.797042247659899e-07,True
670,SLC25A3,5250.0,NOT,0.03492269109845425,419.0,expressed,0.046106824374778047,True
671,P2RX4,5025.0,NOT,8.533587177653933e-06,154.0,expressed,1.887792527775281e-05,True
672,PPM1A,5494.0,ND,0.07649809104336511,454.0,not,0.09611641012249125,False
673,NKX3-2,579.0,NOT,1.8196420467945707e-09,8.0,expressed,1.3450713033109203e-08,True
674,ACTN1,87.0,ND,0.002707701249941214,311.0,expressed,0.0041607844772046315,True
