,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
12788,HOXA1,3198.0,NOT,1.182254783115696e-09,19.0,expressed
12789,FLT3,2322.0,NOT,0.9999989553364106,1129.0,not
12790,TMED1,11018.0,NOT,0.8815015987767587,760.0,not
12791,PNKD,25953.0,ND,0.9999999695778374,1157.0,not
12792,SLC22A31,146429.0,NOT,0.9999999996221536,1275.0,not
12793,ARFGAP3,26286.0,NOT,0.5019255430274854,638.0,not
12794,DCSTAMP,81501.0,NOT,0.9999999991215304,1261.0,not
12795,CA12,771.0,NOT,1.172395548706478e-08,59.0,expressed
12796,SNRNP27,11017.0,NOT,0.06919850203729704,484.0,not
12797,MTFR2,113115.0,ND,5.774167343130894e-10,7.0,expressed
12798,C19orf77,284422.0,ND,8.519287867169473e-06,192.0,expressed
